word1	word2	POS	SimLex999	conc(w1)	conc(w2)	concQ	Assoc(USF)	SimAssoc333	SD(SimLex)	context1	context2
decade	century	N	3.48	3.19	2.83	2	1.64	1	1.36	The word 'decade' is often used in phrases such as 'The decade solution' or 'The decade idea.'	The word 'century' is often used in phrases such as 'The century method' or 'The century approach.'
alcohol	gin	N	8.65	4.76	4.46	3	1.64	1	1.17	The word 'alcohol' is often used in phrases such as 'The alcohol solution' or 'The alcohol idea.'	The word 'gin' is often used in phrases such as 'The gin method' or 'The gin approach.'
hat	coat	N	2.67	4.88	4.97	4	1.62	1	1.76	The word 'hat' is often used in phrases such as 'The hat solution' or 'The hat idea.'	The word 'coat' is often used in phrases such as 'The coat method' or 'The coat approach.'
window	door	N	3.33	4.86	4.81	4	1.56	1	1.6	The word 'window' is often used in phrases such as 'The window solution' or 'The window idea.'	The word 'door' is often used in phrases such as 'The door method' or 'The door approach.'
arm	wrist	N	3.57	4.96	4.93	4	1.55	1	1.33	The word 'arm' is often used in phrases such as 'The arm solution' or 'The arm idea.'	The word 'wrist' is often used in phrases such as 'The wrist method' or 'The wrist approach.'
house	apartment	N	5.8	5.0	4.9	4	1.54	1	1.4	The word 'house' is often used in phrases such as 'The house solution' or 'The house idea.'	The word 'apartment' is often used in phrases such as 'The apartment method' or 'The apartment approach.'
glass	crystal	N	6.27	4.82	4.58	3	1.52	1	1.48	The word 'glass' is often used in phrases such as 'The glass solution' or 'The glass idea.'	The word 'crystal' is often used in phrases such as 'The crystal method' or 'The crystal approach.'
wine	brandy	N	5.15	4.79	4.81	4	1.52	1	1.67	The word 'wine' is often used in phrases such as 'The wine solution' or 'The wine idea.'	The word 'brandy' is often used in phrases such as 'The brandy method' or 'The brandy approach.'
creator	maker	N	9.62	3.07	3.9	2	1.51	1	1.4	The word 'creator' is often used in phrases such as 'The creator solution' or 'The creator idea.'	The word 'maker' is often used in phrases such as 'The maker method' or 'The maker approach.'
dinner	breakfast	N	3.33	4.5	4.43	3	1.49	1	1.72	The word 'dinner' is often used in phrases such as 'The dinner solution' or 'The dinner idea.'	The word 'breakfast' is often used in phrases such as 'The breakfast method' or 'The breakfast approach.'
arm	muscle	N	3.72	4.96	4.5	3	1.45	1	0.83	The word 'arm' is often used in phrases such as 'The arm solution' or 'The arm idea.'	The word 'muscle' is often used in phrases such as 'The muscle method' or 'The muscle approach.'
bubble	suds	N	8.57	4.6	4.59	3	1.42	1	1.59	The word 'bubble' is often used in phrases such as 'The bubble solution' or 'The bubble idea.'	The word 'suds' is often used in phrases such as 'The suds method' or 'The suds approach.'
bread	flour	N	3.33	4.92	4.97	4	1.42	1	1.25	The word 'bread' is often used in phrases such as 'The bread solution' or 'The bread idea.'	The word 'flour' is often used in phrases such as 'The flour method' or 'The flour approach.'
death	tragedy	N	5.8	3.73	2.07	2	1.41	1	1.13	The word 'death' is often used in phrases such as 'The death solution' or 'The death idea.'	The word 'tragedy' is often used in phrases such as 'The tragedy method' or 'The tragedy approach.'
absence	presence	N	0.4	2.31	2.72	1	1.38	1	1.5	The word 'absence' is often used in phrases such as 'The absence solution' or 'The absence idea.'	The word 'presence' is often used in phrases such as 'The presence method' or 'The presence approach.'
gun	cannon	N	5.68	4.83	4.79	4	1.35	1	1.56	The word 'gun' is often used in phrases such as 'The gun solution' or 'The gun idea.'	The word 'cannon' is often used in phrases such as 'The cannon method' or 'The cannon approach.'
grass	blade	N	4.57	4.93	4.93	4	1.34	1	1.53	The word 'grass' is often used in phrases such as 'The grass solution' or 'The grass idea.'	The word 'blade' is often used in phrases such as 'The blade method' or 'The blade approach.'
ball	basket	N	1.67	5.0	5.0	4	1.33	1	1.08	The word 'ball' is often used in phrases such as 'The ball solution' or 'The ball idea.'	The word 'basket' is often used in phrases such as 'The basket method' or 'The basket approach.'
hose	garden	N	1.67	4.87	4.73	4	1.32	1	1.1	The word 'hose' is often used in phrases such as 'The hose solution' or 'The hose idea.'	The word 'garden' is often used in phrases such as 'The garden method' or 'The garden approach.'
boy	kid	N	7.5	4.76	4.56	3	1.28	1	1.44	The word 'boy' is often used in phrases such as 'The boy solution' or 'The boy idea.'	The word 'kid' is often used in phrases such as 'The kid method' or 'The kid approach.'
church	choir	N	2.95	4.9	4.34	3	1.27	1	1.43	The word 'church' is often used in phrases such as 'The church solution' or 'The church idea.'	The word 'choir' is often used in phrases such as 'The choir method' or 'The choir approach.'
clothes	drawer	N	3.02	4.76	4.67	3	1.27	1	1.49	The word 'clothes' is often used in phrases such as 'The clothes solution' or 'The clothes idea.'	The word 'drawer' is often used in phrases such as 'The drawer method' or 'The drawer approach.'
tower	bell	N	1.9	4.76	4.96	4	1.22	1	1.41	The word 'tower' is often used in phrases such as 'The tower solution' or 'The tower idea.'	The word 'bell' is often used in phrases such as 'The bell method' or 'The bell approach.'
father	parent	N	7.07	4.52	4.56	3	1.19	1	1.06	The word 'father' is often used in phrases such as 'The father solution' or 'The father idea.'	The word 'parent' is often used in phrases such as 'The parent method' or 'The parent approach.'
school	grade	N	4.42	4.79	3.0	3	1.18	1	1.32	The word 'school' is often used in phrases such as 'The school solution' or 'The school idea.'	The word 'grade' is often used in phrases such as 'The grade method' or 'The grade approach.'
parent	adult	N	5.37	4.56	4.4	3	1.15	1	1.6	The word 'parent' is often used in phrases such as 'The parent solution' or 'The parent idea.'	The word 'adult' is often used in phrases such as 'The adult method' or 'The adult approach.'
bar	jail	N	1.9	4.67	4.83	4	1.15	1	1.12	The word 'bar' is often used in phrases such as 'The bar solution' or 'The bar idea.'	The word 'jail' is often used in phrases such as 'The jail method' or 'The jail approach.'
car	highway	N	3.4	4.89	4.72	4	1.15	1	1.77	The word 'car' is often used in phrases such as 'The car solution' or 'The car idea.'	The word 'highway' is often used in phrases such as 'The highway method' or 'The highway approach.'
dictionary	definition	N	6.25	4.62	3.07	3	1.14	1	1.06	The word 'dictionary' is often used in phrases such as 'The dictionary solution' or 'The dictionary idea.'	The word 'definition' is often used in phrases such as 'The definition method' or 'The definition approach.'
door	cellar	N	1.97	4.81	4.68	4	1.13	1	1.47	The word 'door' is often used in phrases such as 'The door solution' or 'The door idea.'	The word 'cellar' is often used in phrases such as 'The cellar method' or 'The cellar approach.'
army	legion	N	5.95	4.7	2.69	2	1.11	1	1.29	The word 'army' is often used in phrases such as 'The army solution' or 'The army idea.'	The word 'legion' is often used in phrases such as 'The legion method' or 'The legion approach.'
metal	aluminum	N	7.25	4.87	4.88	4	1.1	1	1.76	The word 'metal' is often used in phrases such as 'The metal solution' or 'The metal idea.'	The word 'aluminum' is often used in phrases such as 'The aluminum method' or 'The aluminum approach.'
chair	bench	N	6.67	4.58	4.87	3	1.09	1	1.22	The word 'chair' is often used in phrases such as 'The chair solution' or 'The chair idea.'	The word 'bench' is often used in phrases such as 'The bench method' or 'The bench approach.'
cloud	fog	N	6.0	4.54	4.66	3	1.05	1	1.04	The word 'cloud' is often used in phrases such as 'The cloud solution' or 'The cloud idea.'	The word 'fog' is often used in phrases such as 'The fog method' or 'The fog approach.'
boy	son	N	6.75	4.76	4.14	3	1.03	1	0.88	The word 'boy' is often used in phrases such as 'The boy solution' or 'The boy idea.'	The word 'son' is often used in phrases such as 'The son method' or 'The son approach.'
water	ice	N	6.47	5.0	4.89	4	1.03	1	1.66	The word 'water' is often used in phrases such as 'The water solution' or 'The water idea.'	The word 'ice' is often used in phrases such as 'The ice method' or 'The ice approach.'
bed	blanket	N	3.02	5.0	5.0	4	1.02	1	1.48	The word 'bed' is often used in phrases such as 'The bed solution' or 'The bed idea.'	The word 'blanket' is often used in phrases such as 'The blanket method' or 'The blanket approach.'
attorney	lawyer	N	9.35	4.52	4.7	3	1.01	1	1.4	The word 'attorney' is often used in phrases such as 'The attorney solution' or 'The attorney idea.'	The word 'lawyer' is often used in phrases such as 'The lawyer method' or 'The lawyer approach.'
area	zone	N	8.33	3.72	3.07	2	0.97	1	0.89	The word 'area' is often used in phrases such as 'The area solution' or 'The area idea.'	The word 'zone' is often used in phrases such as 'The zone method' or 'The zone approach.'
business	company	N	9.02	3.28	4.11	3	0.97	1	0.47	The word 'business' is often used in phrases such as 'The business solution' or 'The business idea.'	The word 'company' is often used in phrases such as 'The company method' or 'The company approach.'
clothes	fabric	N	5.87	4.76	4.63	3	0.96	1	1.66	The word 'clothes' is often used in phrases such as 'The clothes solution' or 'The clothes idea.'	The word 'fabric' is often used in phrases such as 'The fabric method' or 'The fabric approach.'
sweater	jacket	N	7.15	4.78	4.86	4	0.96	1	1.13	The word 'sweater' is often used in phrases such as 'The sweater solution' or 'The sweater idea.'	The word 'jacket' is often used in phrases such as 'The jacket method' or 'The jacket approach.'
money	capital	N	6.67	4.54	4.1	3	0.95	1	0.97	The word 'money' is often used in phrases such as 'The money solution' or 'The money idea.'	The word 'capital' is often used in phrases such as 'The capital method' or 'The capital approach.'
hand	foot	N	4.17	4.72	4.9	4	0.95	1	1.41	The word 'hand' is often used in phrases such as 'The hand solution' or 'The hand idea.'	The word 'foot' is often used in phrases such as 'The foot method' or 'The foot approach.'
alcohol	cocktail	N	6.73	4.76	4.4	3	0.93	1	1.2	The word 'alcohol' is often used in phrases such as 'The alcohol solution' or 'The alcohol idea.'	The word 'cocktail' is often used in phrases such as 'The cocktail method' or 'The cocktail approach.'
yard	inch	N	3.78	4.82	4.37	3	0.93	1	1.4	The word 'yard' is often used in phrases such as 'The yard solution' or 'The yard idea.'	The word 'inch' is often used in phrases such as 'The inch method' or 'The inch approach.'
molecule	atom	N	6.45	3.27	3.34	2	0.92	1	1.56	The word 'molecule' is often used in phrases such as 'The molecule solution' or 'The molecule idea.'	The word 'atom' is often used in phrases such as 'The atom method' or 'The atom approach.'
lens	camera	N	4.28	4.64	5.0	4	0.9	1	1.89	The word 'lens' is often used in phrases such as 'The lens solution' or 'The lens idea.'	The word 'camera' is often used in phrases such as 'The camera method' or 'The camera approach.'
meal	dinner	N	7.15	4.62	4.5	3	0.88	1	2.0	The word 'meal' is often used in phrases such as 'The meal solution' or 'The meal idea.'	The word 'dinner' is often used in phrases such as 'The dinner method' or 'The dinner approach.'
eye	tear	N	3.55	4.9	4.56	3	0.88	1	1.48	The word 'eye' is often used in phrases such as 'The eye solution' or 'The eye idea.'	The word 'tear' is often used in phrases such as 'The tear method' or 'The tear approach.'
god	devil	N	1.8	2.07	3.41	2	0.87	1	1.1	The word 'god' is often used in phrases such as 'The god solution' or 'The god idea.'	The word 'devil' is often used in phrases such as 'The devil method' or 'The devil approach.'
loop	belt	N	3.1	4.26	4.9	3	0.87	1	1.74	The word 'loop' is often used in phrases such as 'The loop solution' or 'The loop idea.'	The word 'belt' is often used in phrases such as 'The belt method' or 'The belt approach.'
rat	mouse	N	7.78	4.85	4.83	4	0.87	1	0.93	The word 'rat' is often used in phrases such as 'The rat solution' or 'The rat idea.'	The word 'mouse' is often used in phrases such as 'The mouse method' or 'The mouse approach.'
motor	engine	N	8.65	4.84	4.86	4	0.87	1	1.47	The word 'motor' is often used in phrases such as 'The motor solution' or 'The motor idea.'	The word 'engine' is often used in phrases such as 'The engine method' or 'The engine approach.'
car	cab	N	7.42	4.89	4.88	4	0.87	1	1.15	The word 'car' is often used in phrases such as 'The car solution' or 'The car idea.'	The word 'cab' is often used in phrases such as 'The cab method' or 'The cab approach.'
cat	lion	N	6.75	4.86	4.96	4	0.85	1	0.84	The word 'cat' is often used in phrases such as 'The cat solution' or 'The cat idea.'	The word 'lion' is often used in phrases such as 'The lion method' or 'The lion approach.'
size	magnitude	N	6.33	3.13	2.43	2	0.84	1	0.59	The word 'size' is often used in phrases such as 'The size solution' or 'The size idea.'	The word 'magnitude' is often used in phrases such as 'The magnitude method' or 'The magnitude approach.'
reality	fantasy	N	1.03	1.72	1.59	1	0.83	1	0.89	The word 'reality' is often used in phrases such as 'The reality solution' or 'The reality idea.'	The word 'fantasy' is often used in phrases such as 'The fantasy method' or 'The fantasy approach.'
door	gate	N	5.25	4.81	4.96	4	0.83	1	1.47	The word 'door' is often used in phrases such as 'The door solution' or 'The door idea.'	The word 'gate' is often used in phrases such as 'The gate method' or 'The gate approach.'
cat	pet	N	5.95	4.86	4.71	4	0.82	1	1.41	The word 'cat' is often used in phrases such as 'The cat solution' or 'The cat idea.'	The word 'pet' is often used in phrases such as 'The pet method' or 'The pet approach.'
tin	aluminum	N	6.42	4.87	4.88	4	0.82	1	1.3	The word 'tin' is often used in phrases such as 'The tin solution' or 'The tin idea.'	The word 'aluminum' is often used in phrases such as 'The aluminum method' or 'The aluminum approach.'
bone	jaw	N	4.17	4.9	4.87	4	0.82	1	0.44	The word 'bone' is often used in phrases such as 'The bone solution' or 'The bone idea.'	The word 'jaw' is often used in phrases such as 'The jaw method' or 'The jaw approach.'
cereal	wheat	N	3.75	4.83	4.89	4	0.81	1	1.72	The word 'cereal' is often used in phrases such as 'The cereal solution' or 'The cereal idea.'	The word 'wheat' is often used in phrases such as 'The wheat method' or 'The wheat approach.'
house	key	N	1.9	5.0	4.89	4	0.8	1	1.09	The word 'house' is often used in phrases such as 'The house solution' or 'The house idea.'	The word 'key' is often used in phrases such as 'The key method' or 'The key approach.'
blood	flesh	N	4.28	4.86	4.59	3	0.79	1	1.74	The word 'blood' is often used in phrases such as 'The blood solution' or 'The blood idea.'	The word 'flesh' is often used in phrases such as 'The flesh method' or 'The flesh approach.'
door	corridor	N	3.73	4.81	4.72	4	0.79	1	1.11	The word 'door' is often used in phrases such as 'The door solution' or 'The door idea.'	The word 'corridor' is often used in phrases such as 'The corridor method' or 'The corridor approach.'
god	spirit	N	7.3	2.07	1.6	1	0.77	1	1.63	The word 'god' is often used in phrases such as 'The god solution' or 'The god idea.'	The word 'spirit' is often used in phrases such as 'The spirit method' or 'The spirit approach.'
capability	competence	N	7.62	1.93	1.78	1	0.77	1	0.84	The word 'capability' is often used in phrases such as 'The capability solution' or 'The capability idea.'	The word 'competence' is often used in phrases such as 'The competence method' or 'The competence approach.'
abundance	plenty	N	8.97	2.21	2.39	1	0.77	1	1.02	The word 'abundance' is often used in phrases such as 'The abundance solution' or 'The abundance idea.'	The word 'plenty' is often used in phrases such as 'The plenty method' or 'The plenty approach.'
sofa	chair	N	6.67	4.9	4.58	4	0.77	1	1.56	The word 'sofa' is often used in phrases such as 'The sofa solution' or 'The sofa idea.'	The word 'chair' is often used in phrases such as 'The chair method' or 'The chair approach.'
wall	brick	N	4.68	4.86	4.83	4	0.77	1	1.16	The word 'wall' is often used in phrases such as 'The wall solution' or 'The wall idea.'	The word 'brick' is often used in phrases such as 'The brick method' or 'The brick approach.'
horn	drum	N	2.68	5.0	4.96	4	0.77	1	0.47	The word 'horn' is often used in phrases such as 'The horn solution' or 'The horn idea.'	The word 'drum' is often used in phrases such as 'The drum method' or 'The drum approach.'
organ	liver	N	6.15	4.77	4.68	3	0.76	1	1.12	The word 'organ' is often used in phrases such as 'The organ solution' or 'The organ idea.'	The word 'liver' is often used in phrases such as 'The liver method' or 'The liver approach.'
strength	might	N	7.07	2.96	2.32	2	0.74	1	0.8	The word 'strength' is often used in phrases such as 'The strength solution' or 'The strength idea.'	The word 'might' is often used in phrases such as 'The might method' or 'The might approach.'
phrase	word	N	5.48	2.86	3.56	2	0.74	1	1.73	The word 'phrase' is often used in phrases such as 'The phrase solution' or 'The phrase idea.'	The word 'word' is often used in phrases such as 'The word method' or 'The word approach.'
band	parade	N	3.92	4.68	4.54	3	0.74	1	1.74	The word 'band' is often used in phrases such as 'The band solution' or 'The band idea.'	The word 'parade' is often used in phrases such as 'The parade method' or 'The parade approach.'
stomach	waist	N	5.9	4.89	4.72	4	0.74	1	1.49	The word 'stomach' is often used in phrases such as 'The stomach solution' or 'The stomach idea.'	The word 'waist' is often used in phrases such as 'The waist method' or 'The waist approach.'
cloud	storm	N	5.6	4.54	4.7	3	0.73	1	1.47	The word 'cloud' is often used in phrases such as 'The cloud solution' or 'The cloud idea.'	The word 'storm' is often used in phrases such as 'The storm method' or 'The storm approach.'
joy	pride	N	5.0	2.37	1.66	1	0.72	1	0.9	The word 'joy' is often used in phrases such as 'The joy solution' or 'The joy idea.'	The word 'pride' is often used in phrases such as 'The pride method' or 'The pride approach.'
noise	rattle	N	6.17	3.52	4.07	3	0.72	1	1.33	The word 'noise' is often used in phrases such as 'The noise solution' or 'The noise idea.'	The word 'rattle' is often used in phrases such as 'The rattle method' or 'The rattle approach.'
rain	mist	N	5.97	4.97	4.51	4	0.71	1	1.83	The word 'rain' is often used in phrases such as 'The rain solution' or 'The rain idea.'	The word 'mist' is often used in phrases such as 'The mist method' or 'The mist approach.'
beer	beverage	N	5.42	4.88	4.6	4	0.71	1	1.34	The word 'beer' is often used in phrases such as 'The beer solution' or 'The beer idea.'	The word 'beverage' is often used in phrases such as 'The beverage method' or 'The beverage approach.'
man	uncle	N	3.92	4.79	4.24	3	0.7	1	1.36	The word 'man' is often used in phrases such as 'The man solution' or 'The man idea.'	The word 'uncle' is often used in phrases such as 'The uncle method' or 'The uncle approach.'
apple	juice	N	2.88	5.0	4.89	4	0.7	1	1.65	The word 'apple' is often used in phrases such as 'The apple solution' or 'The apple idea.'	The word 'juice' is often used in phrases such as 'The juice method' or 'The juice approach.'
intelligence	logic	N	6.5	2.24	1.72	1	0.68	1	1.2	The word 'intelligence' is often used in phrases such as 'The intelligence solution' or 'The intelligence idea.'	The word 'logic' is often used in phrases such as 'The logic method' or 'The logic approach.'
communication	language	N	7.47	2.9	2.35	2	0.68	1	1.09	The word 'communication' is often used in phrases such as 'The communication solution' or 'The communication idea.'	The word 'language' is often used in phrases such as 'The language method' or 'The language approach.'
mink	fur	N	6.83	4.58	4.69	3	0.68	1	0.39	The word 'mink' is often used in phrases such as 'The mink solution' or 'The mink idea.'	The word 'fur' is often used in phrases such as 'The fur method' or 'The fur approach.'
mob	crowd	N	7.85	3.88	4.52	3	0.67	1	1.2	The word 'mob' is often used in phrases such as 'The mob solution' or 'The mob idea.'	The word 'crowd' is often used in phrases such as 'The crowd method' or 'The crowd approach.'
shore	coast	N	8.83	4.79	4.21	3	0.67	1	1.53	The word 'shore' is often used in phrases such as 'The shore solution' or 'The shore idea.'	The word 'coast' is often used in phrases such as 'The coast method' or 'The coast approach.'
wire	cord	N	7.62	4.72	4.63	3	0.67	1	1.35	The word 'wire' is often used in phrases such as 'The wire solution' or 'The wire idea.'	The word 'cord' is often used in phrases such as 'The cord method' or 'The cord approach.'
bird	turkey	N	6.58	5.0	4.89	4	0.67	1	1.6	The word 'bird' is often used in phrases such as 'The bird solution' or 'The bird idea.'	The word 'turkey' is often used in phrases such as 'The turkey method' or 'The turkey approach.'
bed	crib	N	7.3	5.0	4.86	4	0.65	1	1.56	The word 'bed' is often used in phrases such as 'The bed solution' or 'The bed idea.'	The word 'crib' is often used in phrases such as 'The crib method' or 'The crib approach.'
competence	ability	N	7.5	1.78	1.81	1	0.63	1	0.6	The word 'competence' is often used in phrases such as 'The competence solution' or 'The competence idea.'	The word 'ability' is often used in phrases such as 'The ability method' or 'The ability approach.'
cloud	haze	N	7.32	4.54	4.04	3	0.63	1	1.68	The word 'cloud' is often used in phrases such as 'The cloud solution' or 'The cloud idea.'	The word 'haze' is often used in phrases such as 'The haze method' or 'The haze approach.'
supper	meal	N	7.53	4.63	4.62	3	0.63	1	0.47	The word 'supper' is often used in phrases such as 'The supper solution' or 'The supper idea.'	The word 'meal' is often used in phrases such as 'The meal method' or 'The meal approach.'
bar	cage	N	2.8	4.67	5.0	4	0.63	1	0.51	The word 'bar' is often used in phrases such as 'The bar solution' or 'The bar idea.'	The word 'cage' is often used in phrases such as 'The cage method' or 'The cage approach.'
water	salt	N	1.3	5.0	4.89	4	0.63	1	0.94	The word 'water' is often used in phrases such as 'The water solution' or 'The water idea.'	The word 'salt' is often used in phrases such as 'The salt method' or 'The salt approach.'
sense	intuition	N	7.68	2.61	1.67	1	0.62	1	1.24	The word 'sense' is often used in phrases such as 'The sense solution' or 'The sense idea.'	The word 'intuition' is often used in phrases such as 'The intuition method' or 'The intuition approach.'
situation	condition	N	6.58	2.03	2.15	1	0.61	1	1.41	The word 'situation' is often used in phrases such as 'The situation solution' or 'The situation idea.'	The word 'condition' is often used in phrases such as 'The condition method' or 'The condition approach.'
crime	theft	N	7.53	3.03	2.93	2	0.61	1	1.32	The word 'crime' is often used in phrases such as 'The crime solution' or 'The crime idea.'	The word 'theft' is often used in phrases such as 'The theft method' or 'The theft approach.'
style	fashion	N	8.5	2.67	3.43	2	0.61	1	0.87	The word 'style' is often used in phrases such as 'The style solution' or 'The style idea.'	The word 'fashion' is often used in phrases such as 'The fashion method' or 'The fashion approach.'
boundary	border	N	9.08	3.04	4.29	2	0.61	1	0.44	The word 'boundary' is often used in phrases such as 'The boundary solution' or 'The boundary idea.'	The word 'border' is often used in phrases such as 'The border method' or 'The border approach.'
arm	body	N	4.05	4.96	4.79	4	0.61	1	0.51	The word 'arm' is often used in phrases such as 'The arm solution' or 'The arm idea.'	The word 'body' is often used in phrases such as 'The body method' or 'The body approach.'
boat	car	N	2.37	4.93	4.89	4	0.61	1	1.17	The word 'boat' is often used in phrases such as 'The boat solution' or 'The boat idea.'	The word 'car' is often used in phrases such as 'The car method' or 'The car approach.'
sandwich	lunch	N	6.3	4.9	4.31	3	0.58	1	1.53	The word 'sandwich' is often used in phrases such as 'The sandwich solution' or 'The sandwich idea.'	The word 'lunch' is often used in phrases such as 'The lunch method' or 'The lunch approach.'
bride	princess	N	2.8	4.63	4.72	3	0.58	1	0.92	The word 'bride' is often used in phrases such as 'The bride solution' or 'The bride idea.'	The word 'princess' is often used in phrases such as 'The princess method' or 'The princess approach.'
heroine	hero	N	8.78	4.21	3.07	2	0.56	1	1.79	The word 'heroine' is often used in phrases such as 'The heroine solution' or 'The heroine idea.'	The word 'hero' is often used in phrases such as 'The hero method' or 'The hero approach.'
car	gauge	N	1.13	4.89	4.0	3	0.56	1	1.47	The word 'car' is often used in phrases such as 'The car solution' or 'The car idea.'	The word 'gauge' is often used in phrases such as 'The gauge method' or 'The gauge approach.'
insect	bee	N	6.07	4.89	4.88	4	0.55	1	1.34	The word 'insect' is often used in phrases such as 'The insect solution' or 'The insect idea.'	The word 'bee' is often used in phrases such as 'The bee method' or 'The bee approach.'
crib	cradle	N	8.55	4.86	4.93	4	0.55	1	1.15	The word 'crib' is often used in phrases such as 'The crib solution' or 'The crib idea.'	The word 'cradle' is often used in phrases such as 'The cradle method' or 'The cradle approach.'
animal	person	N	3.05	4.61	4.72	3	0.54	1	1.38	The word 'animal' is often used in phrases such as 'The animal solution' or 'The animal idea.'	The word 'person' is often used in phrases such as 'The person method' or 'The person approach.'
marijuana	herb	N	6.5	4.89	4.57	3	0.54	1	0.59	The word 'marijuana' is often used in phrases such as 'The marijuana solution' or 'The marijuana idea.'	The word 'herb' is often used in phrases such as 'The herb method' or 'The herb approach.'
bed	hospital	N	0.92	5.0	4.64	4	0.54	1	1.35	The word 'bed' is often used in phrases such as 'The bed solution' or 'The bed idea.'	The word 'hospital' is often used in phrases such as 'The hospital method' or 'The hospital approach.'
cheek	tongue	N	4.52	4.83	4.93	4	0.54	1	0.47	The word 'cheek' is often used in phrases such as 'The cheek solution' or 'The cheek idea.'	The word 'tongue' is often used in phrases such as 'The tongue method' or 'The tongue approach.'
disc	computer	N	3.2	4.85	4.93	4	0.54	1	0.44	The word 'disc' is often used in phrases such as 'The disc solution' or 'The disc idea.'	The word 'computer' is often used in phrases such as 'The computer method' or 'The computer approach.'
curve	angle	N	3.33	4.41	3.5	3	0.53	1	1.51	The word 'curve' is often used in phrases such as 'The curve solution' or 'The curve idea.'	The word 'angle' is often used in phrases such as 'The angle method' or 'The angle approach.'
grass	moss	N	5.0	4.93	4.9	4	0.53	1	1.27	The word 'grass' is often used in phrases such as 'The grass solution' or 'The grass idea.'	The word 'moss' is often used in phrases such as 'The moss method' or 'The moss approach.'
school	law	N	1.13	4.79	2.57	2	0.52	1	1.49	The word 'school' is often used in phrases such as 'The school solution' or 'The school idea.'	The word 'law' is often used in phrases such as 'The law method' or 'The law approach.'
foot	head	N	2.3	4.9	4.75	4	0.52	1	0.62	The word 'foot' is often used in phrases such as 'The foot solution' or 'The foot idea.'	The word 'head' is often used in phrases such as 'The head method' or 'The head approach.'
mother	guardian	N	6.5	4.6	3.28	3	0.51	1	1.13	The word 'mother' is often used in phrases such as 'The mother solution' or 'The mother idea.'	The word 'guardian' is often used in phrases such as 'The guardian method' or 'The guardian approach.'
orthodontist	dentist	N	8.27	4.43	4.93	3	0.51	1	1.47	The word 'orthodontist' is often used in phrases such as 'The orthodontist solution' or 'The orthodontist idea.'	The word 'dentist' is often used in phrases such as 'The dentist method' or 'The dentist approach.'
alcohol	whiskey	N	7.27	4.76	4.74	4	0.51	1	1.19	The word 'alcohol' is often used in phrases such as 'The alcohol solution' or 'The alcohol idea.'	The word 'whiskey' is often used in phrases such as 'The whiskey method' or 'The whiskey approach.'
mouth	tooth	N	6.3	4.74	4.89	4	0.51	1	1.39	The word 'mouth' is often used in phrases such as 'The mouth solution' or 'The mouth idea.'	The word 'tooth' is often used in phrases such as 'The tooth method' or 'The tooth approach.'
breakfast	bacon	N	4.37	4.43	4.9	3	0.5	1	1.46	The word 'breakfast' is often used in phrases such as 'The breakfast solution' or 'The breakfast idea.'	The word 'bacon' is often used in phrases such as 'The bacon method' or 'The bacon approach.'
bathroom	bedroom	N	3.4	4.52	4.9	3	0.5	1	1.73	The word 'bathroom' is often used in phrases such as 'The bathroom solution' or 'The bathroom idea.'	The word 'bedroom' is often used in phrases such as 'The bedroom method' or 'The bedroom approach.'
plate	bowl	N	5.23	4.77	4.87	4	0.5	1	1.46	The word 'plate' is often used in phrases such as 'The plate solution' or 'The plate idea.'	The word 'bowl' is often used in phrases such as 'The bowl method' or 'The bowl approach.'
meat	bacon	N	5.8	4.9	4.9	4	0.5	1	1.5	The word 'meat' is often used in phrases such as 'The meat solution' or 'The meat idea.'	The word 'bacon' is often used in phrases such as 'The bacon method' or 'The bacon approach.'
air	helium	N	3.63	4.11	3.96	3	0.49	1	1.59	The word 'air' is often used in phrases such as 'The air solution' or 'The air idea.'	The word 'helium' is often used in phrases such as 'The helium method' or 'The helium approach.'
worker	employer	N	5.37	4.59	3.81	3	0.49	1	1.4	The word 'worker' is often used in phrases such as 'The worker solution' or 'The worker idea.'	The word 'employer' is often used in phrases such as 'The employer method' or 'The employer approach.'
body	chest	N	4.45	4.79	4.93	4	0.49	1	1.45	The word 'body' is often used in phrases such as 'The body solution' or 'The body idea.'	The word 'chest' is often used in phrases such as 'The chest method' or 'The chest approach.'
son	father	N	3.82	4.14	4.52	3	0.48	1	1.75	The word 'son' is often used in phrases such as 'The son solution' or 'The son idea.'	The word 'father' is often used in phrases such as 'The father method' or 'The father approach.'
heart	surgery	N	1.08	4.52	4.34	3	0.48	1	1.07	The word 'heart' is often used in phrases such as 'The heart solution' or 'The heart idea.'	The word 'surgery' is often used in phrases such as 'The surgery method' or 'The surgery approach.'
woman	secretary	N	1.98	4.46	4.54	3	0.48	1	1.6	The word 'woman' is often used in phrases such as 'The woman solution' or 'The woman idea.'	The word 'secretary' is often used in phrases such as 'The secretary method' or 'The secretary approach.'
man	father	N	4.83	4.79	4.52	3	0.48	1	1.62	The word 'man' is often used in phrases such as 'The man solution' or 'The man idea.'	The word 'father' is often used in phrases such as 'The father method' or 'The father approach.'
beach	island	N	5.6	4.79	4.96	4	0.48	1	0.39	The word 'beach' is often used in phrases such as 'The beach solution' or 'The beach idea.'	The word 'island' is often used in phrases such as 'The island method' or 'The island approach.'
